age;sexe;filiere;domicile;revenus;situation;etudes;fruits;malbouffe;exercice;imc
18;G;SciencePo;ResidenceU;Remuneration;Difficile;Autre;2;13,8;61;33,8
18;F;Scientifique;SeulAppartement;Remuneration;Correcte;Autre;4;10,5;62;23,1
18;F;Scientifique;Collocation;Famille;Confortable;Au moins 1 etudes sup;5;7,9;64;27,6
18;F;Scientifique;ResidenceU;Multi-sources;Correcte;Au moins 1 etudes sup;4;10,5;65;26,0
18;F;Autre;Collocation;Famille;Correcte;Autre;4;10,6;66;22,7
18;G;Scientifique;Collocation;Famille;Confortable;Au moins 1 etudes sup;3;12,0;67;27,5
18;G;Scientifique;SeulAppartement;Famille;Confortable;Au moins 1 etudes sup;4;10,9;67;31,0
18;F;Autre;Collocation;Remuneration;Correcte;Au moins 1 etudes sup;4;10,3;67;27,4
18;F;Scientifique;ResidenceU;Remuneration;Correcte;Autre;3;11,6;67;26,7
18;G;Scientifique;SeulAppartement;Multi-sources;Correcte;Autre;4;11,3;68;28,7
18;F;Litteraire;Collocation;Remuneration;Difficile;Autre;2;14,1;69;28,1
18;F;Litteraire;SeulAppartement;Remuneration;Correcte;Autre;4;10,5;70;26,9
18;F;Litteraire;ResidenceU;Remuneration;Correcte;Autre;3;12,7;72;24,6
18;G;Scientifique;Collocation;Multi-sources;Correcte;Autre;2;14,0;76;24,1
18;F;Autre;Collocation;Multi-sources;Correcte;Autre;4;11,3;76;24,7
18;F;Autre;ResidenceU;Remuneration;Correcte;Autre;3;12,3;79;28,6
18;F;Autre;Autre;Remuneration;Difficile;Autre;4;10,3;79;26,9
18;F;Scientifique;Collocation;Famille;Confortable;Autre;5;7,9;80;26,4
18;F;Scientifique;ResidenceU;Multi-sources;Correcte;Au moins 1 etudes sup;3;12,2;80;27,4
18;F;Scientifique;ResidenceU;Multi-sources;Correcte;Autre;2;13,7;80;26,4
18;F;Scientifique;SeulAppartement;Famille;Confortable;Au moins 1 etudes sup;5;7,7;83;20,3
18;F;Litteraire;Familial;Famille;Confortable;Au moins 1 etudes sup;6;6,8;86;27,6
18;F;Litteraire;Collocation;Famille;Correcte;Au moins 1 etudes sup;4;9,6;86;33,5
18;G;Litteraire;Collocation;Multi-sources;Correcte;Autre;3;12,8;88;31,8
18;F;Litteraire;Collocation;Remuneration;Correcte;Autre;3;12,4;88;26,3
18;F;Litteraire;Collocation;Multi-sources;Correcte;Autre;4;10,9;89;26,6
18;G;Autre;Collocation;Remuneration;Difficile;Autre;3;11,7;90;25,7
18;F;Autre;Familial;Famille;Correcte;Au moins 1 etudes sup;6;6,4;91;21,6
18;F;Scientifique;SeulAppartement;Multi-sources;Correcte;Autre;4;9,8;91;25,6
18;F;Scientifique;SeulAppartement;Multi-sources;Correcte;Autre;4;10,1;92;27,2
18;F;Scientifique;Autre;Remuneration;Difficile;Autre;4;11,1;92;30,6
18;F;Litteraire;Familial;Famille;Correcte;Autre;5;8,5;94;24,2
18;F;Scientifique;SeulAppartement;Famille;Correcte;Au moins 1 etudes sup;4;9,5;96;23,4
18;G;Litteraire;Familial;Famille;Correcte;Au moins 1 etudes sup;5;8,5;99;26,0
18;G;Scientifique;Collocation;Famille;Correcte;Autre;3;11,8;99;33,2
18;F;Litteraire;Collocation;Remuneration;Correcte;Autre;4;9,4;99;29,9
18;G;Autre;SeulAppartement;Famille;Correcte;Autre;4;11,3;100;28,4
18;F;Scientifique;ResidenceU;Multi-sources;Correcte;Autre;3;11,9;100;20,0
18;G;Scientifique;Collocation;Remuneration;Correcte;Au moins 1 etudes sup;3;12,3;102;25,6
18;F;Scientifique;SeulAppartement;Famille;Confortable;Autre;4;9,5;106;25,6
18;F;Scientifique;Collocation;Multi-sources;Correcte;Autre;4;11,0;106;19,3
18;G;Scientifique;ResidenceU;Remuneration;Correcte;Autre;2;13,5;107;26,8
18;F;SciencePo;SeulAppartement;Remuneration;Difficile;Autre;4;9,7;107;24,3
18;G;SciencePo;SeulAppartement;Famille;Correcte;Autre;3;12,9;108;27,2
18;G;Scientifique;Collocation;Remuneration;Correcte;Autre;4;10,8;109;29,9
18;F;Litteraire;SeulAppartement;Remuneration;Correcte;Autre;4;10,0;110;26,3
18;F;Scientifique;ResidenceU;Remuneration;Difficile;Autre;3;13,1;110;28,2
18;F;Scientifique;ResidenceU;Multi-sources;Confortable;Au moins 1 etudes sup;4;10,9;112;27,6
18;F;Autre;SeulAppartement;Remuneration;Difficile;Autre;4;10,0;113;24,4
18;F;Scientifique;Familial;Famille;Confortable;Autre;6;7,2;115;24,7
18;F;Litteraire;Collocation;Remuneration;Correcte;Autre;4;11,0;115;25,7
18;F;Scientifique;SeulAppartement;Multi-sources;Correcte;Autre;4;9,7;118;25,2
18;F;Scientifique;SeulAppartement;Famille;Correcte;Au moins 1 etudes sup;5;8,4;120;26,2
18;F;Scientifique;Familial;Multi-sources;Correcte;Autre;6;6,7;122;31,2
18;F;Scientifique;Collocation;Remuneration;Correcte;Autre;4;10,6;127;30,8
18;F;Autre;Collocation;Remuneration;Difficile;Autre;4;10,3;127;24,6
18;F;SciencePo;ResidenceU;Multi-sources;Correcte;Au moins 1 etudes sup;4;11,0;129;26,5
18;G;Litteraire;Familial;Famille;Correcte;Autre;3;11,5;130;22,0
18;F;Scientifique;SeulAppartement;Remuneration;Difficile;Autre;4;11,0;131;23,1
18;F;Scientifique;Collocation;Famille;Correcte;Au moins 1 etudes sup;4;9,7;133;25,5
18;F;Scientifique;Collocation;Remuneration;Correcte;Au moins 1 etudes sup;5;7,8;133;30,2
18;F;Scientifique;SeulAppartement;Remuneration;Correcte;Autre;4;10,4;133;25,8
18;F;Scientifique;ResidenceU;Remuneration;Difficile;Autre;4;11,2;133;23,6
18;G;Litteraire;Autre;Remuneration;Difficile;Autre;2;15,2;139;25,3
18;F;Litteraire;ResidenceU;Remuneration;Difficile;Autre;2;13,6;143;30,1
18;F;Litteraire;SeulAppartement;Famille;Correcte;Au moins 1 etudes sup;4;10,7;144;23,5
18;F;Scientifique;Familial;Multi-sources;Correcte;Au moins 1 etudes sup;6;6,0;150;21,3
18;F;SciencePo;ResidenceU;Remuneration;Difficile;Autre;2;13,6;153;28,1
18;G;Autre;Familial;Multi-sources;Correcte;Autre;5;7,7;154;27,6
18;F;Scientifique;Familial;Famille;Confortable;Autre;5;7,5;155;30,4
18;F;Litteraire;ResidenceU;Multi-sources;Correcte;Au moins 1 etudes sup;2;14,0;155;22,1
18;G;Scientifique;Familial;Famille;Correcte;Autre;4;10,0;156;33,8
18;F;Scientifique;SeulAppartement;Famille;Confortable;Autre;3;11,4;160;25,8
18;F;Litteraire;SeulAppartement;Famille;Confortable;Autre;4;11,0;163;22,9
18;G;Autre;Collocation;Famille;Confortable;Au moins 1 etudes sup;4;10,1;166;28,6
18;F;Scientifique;SeulAppartement;Multi-sources;Correcte;Au moins 1 etudes sup;5;9,2;168;20,8
18;F;Scientifique;SeulAppartement;Remuneration;Correcte;Autre;4;10,2;172;22,7
18;F;Scientifique;ResidenceU;Remuneration;Difficile;Autre;3;12,3;173;27,3
18;F;Scientifique;Familial;Famille;Correcte;Au moins 1 etudes sup;6;5,7;174;23,0
18;F;SciencePo;Autre;Remuneration;Difficile;Autre;3;11,4;180;21,5
18;F;Scientifique;ResidenceU;Remuneration;Difficile;Autre;3;13,0;184;26,3
18;F;Scientifique;SeulAppartement;Multi-sources;Correcte;Au moins 1 etudes sup;4;10,2;194;22,6
18;G;Litteraire;SeulAppartement;Famille;Confortable;Au moins 1 etudes sup;4;10,3;201;24,1
18;F;SciencePo;ResidenceU;Multi-sources;Difficile;Autre;4;10,7;203;21,9
18;G;Scientifique;SeulAppartement;Remuneration;Difficile;Autre;3;12,4;209;26,1
18;G;Litteraire;Autre;Remuneration;Correcte;Autre;2;13,5;219;30,3
18;G;Scientifique;Familial;Famille;Correcte;Autre;4;9,3;225;29,6
18;F;Scientifique;Familial;Multi-sources;Correcte;Au moins 1 etudes sup;7;4,5;230;29,8
18;F;Scientifique;Familial;Famille;Correcte;Autre;6;6,6;231;16,9
18;F;Litteraire;Collocation;Multi-sources;Correcte;Au moins 1 etudes sup;4;9,9;237;22,4
18;G;SciencePo;Collocation;Remuneration;Confortable;Autre;4;10,7;241;27,3
18;G;SciencePo;ResidenceU;Multi-sources;Correcte;Autre;2;15,3;244;34,7
18;F;Scientifique;Familial;Famille;Correcte;Au moins 1 etudes sup;7;5,0;256;27,4
18;G;Autre;Collocation;Famille;Correcte;Autre;4;10,8;256;23,0
18;G;Litteraire;ResidenceU;Remuneration;Correcte;Autre;2;15,0;277;16,9
19;F;Scientifique;SeulAppartement;Famille;Correcte;Autre;4;9,8;1;27,0
19;G;Litteraire;Collocation;Multi-sources;Correcte;Autre;3;12,4;1;27,5
19;F;Scientifique;Autre;Remuneration;Correcte;Autre;4;10,1;1;28,5
19;F;Scientifique;SeulAppartement;Remuneration;Difficile;Autre;3;11,8;1;28,8
19;F;Scientifique;Familial;Multi-sources;Correcte;Autre;5;8,4;2;26,2
19;F;SciencePo;SeulAppartement;Multi-sources;Correcte;Au moins 1 etudes sup;4;9,5;2;28,4
19;F;Autre;Collocation;Remuneration;Correcte;Autre;4;10,6;4;27,4
19;F;Scientifique;Collocation;Remuneration;Difficile;Autre;4;9,5;4;21,5
19;F;Autre;SeulAppartement;Famille;Correcte;Au moins 1 etudes sup;4;10,3;5;26,5
19;G;SciencePo;Collocation;Multi-sources;Correcte;Autre;4;11,3;5;31,4
19;F;Litteraire;ResidenceU;Multi-sources;Correcte;Autre;3;12,8;5;28,8
19;G;Scientifique;ResidenceU;Multi-sources;Correcte;Autre;2;14,8;5;32,7
19;F;Litteraire;SeulAppartement;Remuneration;Difficile;Autre;3;11,8;5;23,7
19;F;Scientifique;SeulAppartement;Famille;Correcte;Autre;4;11,3;6;31,2
19;G;Scientifique;Collocation;Remuneration;Correcte;Autre;3;12,1;6;31,0
19;F;Scientifique;ResidenceU;Remuneration;Difficile;Autre;3;12,3;6;27,6
19;G;Scientifique;Autre;Famille;Correcte;Autre;3;12,4;7;25,0
19;G;Scientifique;ResidenceU;Remuneration;Correcte;Autre;2;15,1;7;21,7
19;F;Scientifique;ResidenceU;Remuneration;Correcte;Autre;3;11,7;7;25,6
19;F;Litteraire;Collocation;Famille;Correcte;Au moins 1 etudes sup;4;11,0;8;31,0
19;F;SciencePo;Collocation;Remuneration;Correcte;Autre;4;10,4;8;21,2
19;G;Scientifique;SeulAppartement;Famille;Confortable;Au moins 1 etudes sup;4;11,2;9;26,0
19;F;Litteraire;Autre;Remuneration;Correcte;Autre;4;10,3;9;21,8
19;F;Scientifique;Autre;Multi-sources;Difficile;Autre;5;7,5;9;18,7
19;G;Litteraire;SeulAppartement;Remuneration;Difficile;Autre;2;14,8;9;26,1
19;F;Litteraire;Collocation;Multi-sources;Correcte;Autre;4;10,2;10;26,7
19;G;SciencePo;SeulAppartement;Multi-sources;Correcte;Autre;2;13,8;10;26,9
19;G;Scientifique;SeulAppartement;Famille;Confortable;Au moins 1 etudes sup;4;9,7;11;33,6
19;G;Litteraire;Familial;Famille;Correcte;Autre;5;9,0;11;29,5
19;F;Litteraire;Familial;Famille;Confortable;Au moins 1 etudes sup;6;6,9;13;25,5
19;F;Scientifique;Collocation;Remuneration;Correcte;Au moins 1 etudes sup;5;8,4;13;30,2
19;G;Litteraire;SeulAppartement;Remuneration;Correcte;Autre;2;13,6;13;28,2
19;G;Autre;SeulAppartement;Multi-sources;Difficile;Autre;4;10,7;13;36,9
19;F;Scientifique;ResidenceU;Remuneration;Difficile;Autre;2;14,3;13;21,7
19;F;Autre;Familial;Famille;Confortable;Au moins 1 etudes sup;6;5,8;14;23,5
19;F;Autre;ResidenceU;Multi-sources;Correcte;Au moins 1 etudes sup;3;12,0;14;25,8
19;F;Scientifique;ResidenceU;Remuneration;Correcte;Autre;3;12,9;14;29,0
19;F;Autre;ResidenceU;Remuneration;Difficile;Au moins 1 etudes sup;4;10,9;14;26,5
19;F;Scientifique;Familial;Famille;Correcte;Au moins 1 etudes sup;7;4,6;15;22,2
19;F;Scientifique;Collocation;Famille;Correcte;Autre;3;11,6;15;26,3
19;F;Autre;ResidenceU;Multi-sources;Correcte;Autre;3;12,1;15;33,0
19;G;Scientifique;SeulAppartement;Famille;Correcte;Autre;3;12,4;16;24,4
19;F;SciencePo;SeulAppartement;Remuneration;Correcte;Autre;5;8,7;16;24,3
19;G;Autre;Autre;Famille;Confortable;Au moins 1 etudes sup;4;9,9;17;33,6
19;F;Litteraire;Collocation;Remuneration;Correcte;Au moins 1 etudes sup;4;10,3;17;29,8
19;F;Autre;Collocation;Famille;Correcte;Au moins 1 etudes sup;5;7,9;18;29,3
19;F;Scientifique;Familial;Famille;Correcte;Autre;5;7,7;18;24,0
19;F;Scientifique;SeulAppartement;Famille;Correcte;Autre;4;10,4;18;27,6
19;F;Scientifique;Collocation;Multi-sources;Correcte;Autre;4;9,9;18;22,4
19;G;Scientifique;SeulAppartement;Remuneration;Difficile;Autre;3;12,8;18;30,5
19;F;Scientifique;Collocation;Famille;Confortable;Au moins 1 etudes sup;5;9,0;19;22,7
19;F;Scientifique;Collocation;Remuneration;Confortable;Autre;4;10,8;19;22,8
19;F;Scientifique;Collocation;Famille;Correcte;Autre;5;8,9;19;28,2
19;F;Scientifique;Collocation;Famille;Confortable;Autre;3;11,5;20;27,9
19;F;Litteraire;SeulAppartement;Multi-sources;Correcte;Au moins 1 etudes sup;4;9,5;20;27,3
19;F;Scientifique;Familial;Famille;Correcte;Autre;6;5,7;20;22,8
19;F;Litteraire;Collocation;Remuneration;Confortable;Au moins 1 etudes sup;4;11,1;21;25,1
19;F;Scientifique;ResidenceU;Multi-sources;Correcte;Au moins 1 etudes sup;4;9,8;21;24,5
19;F;SciencePo;ResidenceU;Multi-sources;Correcte;Au moins 1 etudes sup;4;11,0;21;28,1
19;F;Scientifique;Autre;Remuneration;Correcte;Autre;4;9,5;21;31,9
19;F;Scientifique;Familial;Famille;Confortable;Au moins 1 etudes sup;6;5,7;22;29,4
19;F;Scientifique;Collocation;Remuneration;Correcte;Au moins 1 etudes sup;3;11,6;22;31,5
19;F;SciencePo;SeulAppartement;Remuneration;Correcte;Au moins 1 etudes sup;4;10,0;22;29,0
19;G;Litteraire;Collocation;Multi-sources;Correcte;Autre;2;13,8;22;31,7
19;G;Scientifique;Collocation;Remuneration;Correcte;Autre;3;12,6;22;33,0
19;F;Litteraire;ResidenceU;Remuneration;Correcte;Autre;2;13,5;22;30,8
19;F;Litteraire;ResidenceU;Remuneration;Correcte;Autre;3;12,6;23;25,8
19;F;Litteraire;ResidenceU;Remuneration;Correcte;Autre;4;10,9;23;26,2
19;F;SciencePo;ResidenceU;Remuneration;Difficile;Autre;3;13,1;23;26,2
19;G;Litteraire;ResidenceU;Remuneration;Difficile;Autre;1;16,1;23;26,9
19;G;Scientifique;Collocation;Famille;Confortable;Au moins 1 etudes sup;4;10,5;24;25,5
19;F;Scientifique;Collocation;Remuneration;Correcte;Autre;3;11,4;24;32,6
19;F;Scientifique;SeulAppartement;Famille;Confortable;Au moins 1 etudes sup;4;9,7;25;31,0
19;F;Scientifique;Autre;Famille;Confortable;Autre;4;10,0;25;27,6
19;F;Litteraire;SeulAppartement;Famille;Correcte;Autre;4;9,9;25;30,2
19;F;Litteraire;ResidenceU;Remuneration;Correcte;Autre;3;12,1;25;32,1
19;G;Scientifique;SeulAppartement;Remuneration;Correcte;Autre;3;12,9;26;32,1
19;F;Litteraire;Collocation;Remuneration;Correcte;Au moins 1 etudes sup;4;9,3;27;25,9
19;F;Scientifique;ResidenceU;Multi-sources;Correcte;Autre;3;12,3;27;31,4
19;F;Scientifique;Collocation;Remuneration;Correcte;Autre;3;11,8;27;23,7
19;F;Scientifique;SeulAppartement;Famille;Correcte;Au moins 1 etudes sup;5;8,2;28;25,3
19;F;Litteraire;SeulAppartement;Multi-sources;Correcte;Autre;4;10,5;28;26,3
19;G;Litteraire;SeulAppartement;Remuneration;Correcte;Autre;2;13,4;28;31,0
19;F;Autre;Familial;Famille;Correcte;Au moins 1 etudes sup;6;6,1;29;32,3
19;F;Litteraire;SeulAppartement;Famille;Correcte;Autre;3;12,1;29;30,5
19;F;Litteraire;Familial;Multi-sources;Correcte;Autre;6;6,1;29;28,7
19;F;SciencePo;Autre;Remuneration;Correcte;Autre;4;9,6;29;28,2
19;G;Scientifique;Autre;Famille;Confortable;Autre;4;10,1;30;31,0
19;F;Autre;Collocation;Multi-sources;Correcte;Autre;5;8,7;30;27,1
19;F;Litteraire;SeulAppartement;Remuneration;Correcte;Autre;3;12,5;30;26,2
19;F;Litteraire;SeulAppartement;Remuneration;Difficile;Autre;3;11,5;30;26,8
19;G;Scientifique;Collocation;Famille;Confortable;Au moins 1 etudes sup;4;10,1;31;25,4
19;G;Litteraire;SeulAppartement;Famille;Confortable;Au moins 1 etudes sup;3;11,7;31;31,2
19;F;SciencePo;Collocation;Remuneration;Difficile;Autre;3;13,0;33;29,5
19;G;SciencePo;SeulAppartement;Famille;Confortable;Au moins 1 etudes sup;5;9,0;34;29,3
19;F;Autre;SeulAppartement;Famille;Confortable;Au moins 1 etudes sup;5;7,6;34;32,3
19;F;Scientifique;Familial;Famille;Correcte;Autre;6;7,1;34;26,2
19;F;Autre;Collocation;Multi-sources;Correcte;Autre;4;9,6;34;24,8
19;F;Autre;Collocation;Multi-sources;Correcte;Autre;4;9,9;35;27,3
19;F;Scientifique;Familial;Famille;Correcte;Autre;6;6,8;38;31,5
19;F;Autre;Collocation;Remuneration;Difficile;Autre;3;11,4;38;25,1
19;F;Litteraire;Autre;Famille;Confortable;Au moins 1 etudes sup;3;11,6;39;24,3
19;F;Scientifique;SeulAppartement;Remuneration;Correcte;Autre;4;10,4;39;31,5
19;G;Litteraire;SeulAppartement;Famille;Correcte;Autre;3;11,8;40;35,2
19;F;Scientifique;Familial;Multi-sources;Correcte;Autre;6;6,2;40;27,3
19;F;Litteraire;Collocation;Famille;Confortable;Au moins 1 etudes sup;5;8,6;41;29,2
19;F;Litteraire;Collocation;Remuneration;Correcte;Au moins 1 etudes sup;4;10,2;41;26,6
19;F;Litteraire;Collocation;Remuneration;Correcte;Au moins 1 etudes sup;5;9,1;41;28,5
19;G;Litteraire;ResidenceU;Multi-sources;Correcte;Autre;2;14,3;41;28,6
19;G;Scientifique;Collocation;Remuneration;Difficile;Autre;2;13,7;41;28,6
19;F;Scientifique;Familial;Famille;Correcte;Autre;5;8,4;42;29,3
19;F;Litteraire;SeulAppartement;Multi-sources;Correcte;Autre;4;10,6;42;29,4
19;F;Autre;Autre;Remuneration;Correcte;Autre;4;10,0;42;33,9
19;G;Litteraire;Familial;Famille;Confortable;Autre;4;10,2;43;30,5
19;F;Scientifique;Familial;Multi-sources;Correcte;Au moins 1 etudes sup;6;6,9;43;27,1
19;G;Scientifique;SeulAppartement;Multi-sources;Correcte;Au moins 1 etudes sup;3;11,9;43;27,9
19;F;Scientifique;Collocation;Multi-sources;Correcte;Autre;4;9,8;43;27,4
19;F;Scientifique;Collocation;Remuneration;Correcte;Autre;5;8,5;43;32,0
19;G;Scientifique;Autre;Famille;Correcte;Autre;3;13,1;44;30,1
19;G;Scientifique;SeulAppartement;Famille;Confortable;Au moins 1 etudes sup;5;8,9;45;29,0
19;F;SciencePo;Collocation;Remuneration;Correcte;Au moins 1 etudes sup;5;8,3;45;28,5
19;G;Scientifique;SeulAppartement;Remuneration;Correcte;Autre;3;11,7;45;27,7
19;F;Litteraire;SeulAppartement;Remuneration;Correcte;Autre;4;10,7;45;28,6
19;F;Scientifique;Collocation;Remuneration;Difficile;Autre;3;11,5;45;29,0
19;F;SciencePo;ResidenceU;Multi-sources;Confortable;Au moins 1 etudes sup;4;11,3;46;24,3
19;F;Scientifique;Familial;Famille;Correcte;Au moins 1 etudes sup;8;2,1;46;22,2
19;F;Litteraire;Familial;Multi-sources;Correcte;Autre;5;7,6;46;26,3
19;F;Autre;Collocation;Remuneration;Difficile;Autre;4;10,5;46;33,9
19;F;Scientifique;Familial;Multi-sources;Correcte;Au moins 1 etudes sup;6;6,6;47;29,1
19;G;Scientifique;Autre;Famille;Correcte;Autre;3;11,5;47;28,8
19;F;Scientifique;Autre;Remuneration;Difficile;Autre;4;11,1;47;29,1
19;F;Scientifique;ResidenceU;Multi-sources;Confortable;Autre;3;11,4;48;23,6
19;F;Litteraire;Familial;Famille;Correcte;Autre;6;6,3;48;24,9
19;F;SciencePo;SeulAppartement;Remuneration;Difficile;Autre;3;12,1;48;28,7
19;F;Scientifique;Familial;Multi-sources;Correcte;Au moins 1 etudes sup;6;7,1;49;32,4
19;F;Litteraire;Familial;Multi-sources;Correcte;Au moins 1 etudes sup;6;6,9;50;26,2
19;F;Scientifique;Familial;Famille;Correcte;Autre;5;9,2;50;26,2
19;G;Scientifique;Collocation;Remuneration;Difficile;Autre;3;12,1;50;34,2
19;F;Scientifique;SeulAppartement;Multi-sources;Correcte;Autre;4;9,6;51;24,3
19;F;Litteraire;SeulAppartement;Remuneration;Difficile;Autre;3;12,3;51;25,3
19;F;Scientifique;SeulAppartement;Famille;Confortable;Autre;4;9,4;52;23,4
19;F;Scientifique;SeulAppartement;Famille;Correcte;Au moins 1 etudes sup;3;11,5;52;23,8
